ShipmentID,Mode,Carrier,Incoterm,PickupDate,DeparturePort,ArrivalPort,ETA,ActualArrival,ShipmentType,TransitDays
SHP00001,Air,DHL,FOB,7/14/2025,NYC,LAX,7/18/2025,7/18/2025,Air,4
SHP00002,Sea,Maersk,CIF,7/1/2025,SEA,MIA,7/12/2025,7/14/2025,Sea,11
SHP00003,Ground,UPS,DAP,6/20/2025,HOU,CHI,6/30/2025,7/2/2025,Sea,10
SHP00004,Air,FedEx,EXW,7/25/2025,LAX,NYC,7/29/2025,7/28/2025,Air,4
SHP00005,Sea,CMA CGM,CIF,7/7/2025,MIA,SEA,7/25/2025,7/27/2025,Sea,18
SHP00006,Ground,DHL,FOB,6/5/2025,NYC,HOU,6/14/2025,6/13/2025,Sea,9
SHP00007,Sea,Maersk,EXW,7/15/2025,SEA,LAX,7/29/2025,7/30/2025,Sea,14
SHP00008,Air,FedEx,DAP,7/12/2025,CHI,MIA,7/16/2025,7/17/2025,Air,4
SHP00009,Sea,CMA CGM,FOB,6/25/2025,HOU,SEA,7/8/2025,7/8/2025,Sea,13
SHP00010,Ground,UPS,CIF,6/10/2025,NYC,LAX,6/19/2025,6/19/2025,Sea,9
