ProdOrderID,MaterialID,Line,StartDate,EndDate,PlannedQty,ActualQty,Status
PO00001,M0103,Line-A,7/5/2025,7/9/2025,2030,2100,Completed
PO00002,M0106,Line-C,6/28/2025,7/3/2025,3400,2950,Delayed
PO00003,M0108,Line-B,7/10/2025,7/14/2025,1560,1560,Completed
PO00004,M0107,Line-A,6/20/2025,6/27/2025,1200,1300,Completed
PO00005,M0101,Line-C,7/28/2025,8/2/2025,2900,2800,In Process
PO00006,M0104,Line-B,7/15/2025,7/19/2025,3100,3000,Completed
PO00007,M0105,Line-A,7/1/2025,7/6/2025,2700,2750,Completed
PO00008,M0109,Line-C,6/25/2025,6/29/2025,2500,2450,Completed
PO00009,M0102,Line-B,6/15/2025,6/20/2025,2200,2000,Delayed
PO00010,M0108,Line-A,7/20/2025,7/24/2025,1850,1900,Completed
